ENDSVILLE400_0001	ながしぎりがかんぜんにはいれば、でばふのこうかがふよされる。
ENDSVILLE400_0002	げぐぁんわこのところたしゃをみくだすし、ちょっとおどかすか？
ENDSVILLE400_0003	ぐぇるつぉーにわ、さけならうぉっかとすぷりっつぁをこのみますな。
ENDSVILLE400_0004	みぇちすわふわ、つぎはぎにはられたがむてーぷを、ばりばりとひっぺがす。
ENDSVILLE400_0005	じんせいやまありたにありだが、きゃびあをつまみぶるごーにゅわいんをのめるのわ、こうふくだろう。
ENDSVILLE400_0006	てょりるわ、たくみにとらっぷをいんぺいしたつもりだが、もろばれだぜ。
ENDSVILLE400_0007	ねすびょーのきっぷでわ、う゛ぃーつぇぷすくのきしゃにのれません。
ENDSVILLE400_0008	ひゅーひゅーとすきまかぜがみみざわりなぼろやを、りふぉーむせねば。
ENDSVILLE400_0009	こしぇう゛ぉいのうぃっしゅりすとわ、ねばねばしょくざいばかりだ。
ENDSVILLE400_0010	つまり、どびゅっしーのきょくわ、かんぺきなあーとです。
ENDSVILLE400_0011	よおがきんちょ、あまっちょろいぽりしーかかげてちゃ、つらいだろお？
ENDSVILLE400_0012	ぴぇるう゛ぉまいすきーわ、はんにゃのめんできゃくまをいろどり、らいきゃくしゃをびびらせる。
ENDSVILLE400_0013	でゅるびゅいできびょうがはやり、あすふぁんでゃるがぼくめつした。
ENDSVILLE400_0014	あてなわくぁじもど、ただしがきわかとりぇーてぃだいでおねがいします。
ENDSVILLE400_0015	どぬーう゛わぴっちゃーがえしでけがをし、げんざいもみぎかたがあがらない。
ENDSVILLE400_0016	べたぼめをねがてぃぶにとるのわ、うぉじみぇしゅのあくへきだね。
ENDSVILLE400_0017	てぃもしぃがへきちからもどり、ひさしぶりにかるぱっちょとあえた。
ENDSVILLE400_0018	ひらたくいえば、こけつにいらずんばこじをえずってやつだ。
ENDSVILLE400_0019	かざみどりとやゆされるしぇんきぇう゛ぃちだが、すべてぎたいである。
ENDSVILLE400_0020	ふぉーじゃがへりくつをしゅちょうし、きそくがあらたまった。
ENDSVILLE400_0021	あにゅーしゃわびしょくかで、じたくにちょくぞくのこっくまでやとう。
ENDSVILLE400_0022	すこやかなべびーのねがおに、あでいぇみのきもちがやすらぐ。
ENDSVILLE400_0023	びぇーりやわ、あまりにざつむがおおいふまんから、あっさりとぎぶあっぷしやめた。
ENDSVILLE400_0024	ひょうじんじゃなきゃ、ぴらみっどのざこにすらざんげきがつうじぬ。
ENDSVILLE400_0025	りゅーまちをやむぴゃすとぅう゛なわ、じょしゅのしごとをけっせきし、きたくした。
ENDSVILLE400_0026	ふぁぶりーつぃわもとごえをじゅんびし、ぱぷりかのさいばいをはじめた。
ENDSVILLE400_0027	とうげんきょうとゆーとぴあわ、にてひなるものである。
ENDSVILLE400_0028	のさっぷみさきで、れびゅーのけっかをじゅりょうした。
ENDSVILLE400_0029	びてゅにあのびじねすほてるでむにゃむにゃとねごとをいったが、なかみをおぼえてない。
ENDSVILLE400_0030	べにゃみーのわ、でゅーくだいがくのかりきゅらむをとりよせた。
ENDSVILLE400_0031	ふぇりーのさげんにわ、みごとにうみしかみえないな。
ENDSVILLE400_0032	へべれけのはーつぉぐが、あたりをきょろきょろとみわたす。
ENDSVILLE400_0033	けちぇぐぅわ、ふるいきぐをなやにおしこむ。
ENDSVILLE400_0034	このけしごむが、ざっかや、ならびにうぇぶしょっぷでもしなぎれ？
ENDSVILLE400_0035	きぇぷらう゛ぃーくで、よなよなせきがんのもののふが、うろちょろするらしい。
ENDSVILLE400_0036	ざんていとして、あーてぃすとわくわくぅどぅんで。
ENDSVILLE400_0037	でばっぐのぽぴゅらーなやりかたわ、でばっがーをつかうことだ。
ENDSVILLE400_0038	めいさいがらのぽんちょにみをつつむのわ、はずかしがりやのつぇるきぇふです。
ENDSVILLE400_0039	きゃしゃなあどろぐぇのひぎが、べっつぁーりをうがつ。
ENDSVILLE400_0040	ぜぶらについて、きょうきんをひらきかたりあおうでわないか。
ENDSVILLE400_0041	ひょっとすると、ばにょーねならもっつぁれらちーずやにょっきがかえるかもしれません。
ENDSVILLE400_0042	りーちどらろく、おやっぱねでとび。
ENDSVILLE400_0043	ざつおんじょきょにわ、あくてぃぶとぱっしぶのあぷろーちがある。
ENDSVILLE400_0044	だから、つぇぺりとじぇにーが、どぅびんぎぇいでごはくもしゅくはくするってさ。
ENDSVILLE400_0045	たとえふさくでも、ねんぐわこめがひゃっぴょうだ。
ENDSVILLE400_0046	ぐぇいぇわ、てつやのげきむをのりこえ、ぐぅーぐぅーとばくすいだ。
ENDSVILLE400_0047	どらごんきらーでひゅどらのひふをつらぬけ。
ENDSVILLE400_0048	くぁーちわあやしげなせみなーで、まきゃう゛ぇりずむにどっぷりそまった。
ENDSVILLE400_0049	べぞっつぃが、びゃくやのよるにぷろぽーずすると、かくごをきめる。
ENDSVILLE400_0050	ばるひぇっとわしゅじゅつごに、ぐぉーぐぉーといびきをかいてねる。
ENDSVILLE400_0051	どりょくがじょうじゅするとかぎらないが、だからさぼるりゆうになるわけじゃない。
ENDSVILLE400_0052	ふらふらしてても、くぇすぶをけっしてあなどるな。
ENDSVILLE400_0053	ぽむぴゅーれのがぞうわぴにょってぃのちょさくぶつだが、ふぇあゆーすでしようできる。
ENDSVILLE400_0054	あいつのなまえわちゅくぅでぃえべれだ。
ENDSVILLE400_0055	あまってゃが、ちゅにじあでう゛ぁかんすをえんじょいする。
ENDSVILLE400_0056	ぎゃれっとのすきゃんだるわ、にゅーすばりゅーがばつぐんです。
ENDSVILLE400_0057	むしぇずぃぷのむすこが、おぎゃーおぎゃーとみるくをもとめる。
ENDSVILLE400_0058	りゅぶりゃなわ、ごがくりょくさえあれば、だれでもうぇるかむなとしです。
ENDSVILLE400_0059	きぇしぇくがきしゅうをくわだてても、わがぐんのれーだーがほそくできる。
ENDSVILLE400_0060	ふだんひょうひょうとしたきゃらがくっしのつよさをほこるのわ、ふぃくしょんのてっぱんねたでね。
ENDSVILLE400_0061	ぼくわじびえにせっきょくてきだが、しょくちゅうどくになり、きゅうきゅうしゃではこばれたかこがとらうまだ。
ENDSVILLE400_0062	ふぁびゅらすのにゅあんすを、すてぃーう゛のぼごでつたえるのがむずかしい。
ENDSVILLE400_0063	ぬぐうぇにゃにふじちゃくできるかくりつわ、ふぃふてぃーふぃふてぃーだ。
ENDSVILLE400_0064	りひぇんつぁわ、みずからにかしたおきてをきびしくじゅんしゅする。
